Country,Region,Ranking,Score,Economy,Family,Health,Freedom,Trust,Generosity,Dystopia_Residual
Germany,Western Europe,26,6.75,1.328,1.299,0.892,0.61477,0.21843,0.28214,2.11569
Chile,Latin America and Caribbean,27,6.67,1.107,1.124,0.859,0.44132,0.12869,0.33363,2.67585
Qatar,Middle East and Northern Africa,28,6.611,1.69,1.079,0.797,0.6404,0.52208,0.32573,1.55674
France,Western Europe,29,6.575,1.278,1.26,0.946,0.55011,0.20646,0.12332,2.21126
Argentina,Latin America and Caribbean,30,6.574,1.054,1.248,0.787,0.44974,0.08484,0.11451,2.836
Czech Republic,Central and Eastern Europe,31,6.505,1.179,1.206,0.845,0.46364,0.02652,0.10686,2.67782
Uruguay,Latin America and Caribbean,32,6.485,1.062,1.209,0.812,0.60362,0.24558,0.2324,2.32142
Colombia,Latin America and Caribbean,33,6.477,0.919,1.24,0.691,0.53466,0.0512,0.18401,2.85737
Thailand,Southeastern Asia,34,6.455,0.967,1.265,0.738,0.55664,0.03187,0.5763,2.31945
Saudi Arabia,Middle East and Northern Africa,35,6.411,1.395,1.084,0.72,0.31048,0.32524,0.13706,2.43872
Spain,Western Europe,36,6.329,1.23,1.314,0.956,0.45951,0.06398,0.18227,2.12367
Malta,Western Europe,37,6.302,1.207,1.302,0.887,0.60365,0.13586,0.51752,1.6488
Taiwan,Eastern Asia,38,6.298,1.291,1.076,0.875,0.3974,0.08129,0.25376,2.32323
Kuwait,Middle East and Northern Africa,39,6.295,1.554,1.166,0.725,0.55499,0.25609,0.16228,1.87634
Suriname,Latin America and Caribbean,40,6.269,0.995,0.972,0.608,0.59657,0.13633,0.16991,2.79094
Trinidad and Tobago,Latin America and Caribbean,41,6.168,1.212,1.184,0.615,0.55884,0.0114,0.31844,2.26882
El Salvador,Latin America and Caribbean,42,6.13,0.765,1.025,0.677,0.4035,0.11776,0.10692,3.035
Guatemala,Latin America and Caribbean,43,6.123,0.746,1.044,0.644,0.57733,0.09472,0.27489,2.74255
Uzbekistan,Central and Eastern Europe,44,6.003,0.632,1.34,0.598,0.65821,0.30826,0.22837,2.23741
Slovakia,Central and Eastern Europe,45,5.995,1.169,1.27,0.789,0.31751,0.03431,0.16893,2.24639
Japan,Eastern Asia,46,5.987,1.271,1.257,0.991,0.49615,0.1806,0.10705,1.68435
South Korea,Eastern Asia,47,5.984,1.245,0.958,0.965,0.33208,0.07857,0.18557,2.21978
Ecuador,Latin America and Caribbean,48,5.975,0.864,0.999,0.791,0.48574,0.1809,0.11541,2.53942
Bahrain,Middle East and Northern Africa,49,5.96,1.324,1.216,0.747,0.45492,0.306,0.17362,1.73797
Italy,Western Europe,50,5.948,1.251,1.198,0.954,0.26236,0.02901,0.22823,2.02518
Bolivia,Latin America and Caribbean,51,5.89,0.681,0.978,0.539,0.57414,0.088,0.20536,2.82334
Moldova,Central and Eastern Europe,52,5.889,0.594,1.015,0.618,0.32818,0.01615,0.20951,3.10712
Paraguay,Latin America and Caribbean,53,5.878,0.76,1.305,0.661,0.53899,0.08242,0.3424,2.18896
Kazakhstan,Central and Eastern Europe,54,5.855,1.123,1.122,0.644,0.51649,0.08454,0.11827,2.24729
Slovenia,Central and Eastern Europe,55,5.848,1.185,1.274,0.873,0.60855,0.03787,0.25328,1.61583
Lithuania,Central and Eastern Europe,56,5.833,1.147,1.257,0.731,0.21342,0.01031,0.02641,2.44649
Nicaragua,Latin America and Caribbean,57,5.828,0.593,1.142,0.743,0.55475,0.19317,0.27815,2.32407
Peru,Latin America and Caribbean,58,5.824,0.9,0.975,0.73,0.41496,0.05989,0.14982,2.5945
Belarus,Central and Eastern Europe,59,5.813,1.032,1.233,0.736,0.37938,0.1909,0.11046,2.1309
Poland,Central and Eastern Europe,60,5.791,1.126,1.279,0.779,0.53122,0.04212,0.16759,1.86565
Malaysia,Southeastern Asia,61,5.77,1.125,1.07,0.724,0.53024,0.10501,0.33075,1.88541
Croatia,Central and Eastern Europe,62,5.759,1.083,0.796,0.788,0.25883,0.0243,0.05444,2.75414
Libya,Middle East and Northern Africa,63,5.754,1.131,1.119,0.704,0.41668,0.11023,0.18295,2.09066
Russia,Central and Eastern Europe,64,5.716,1.138,1.236,0.669,0.36679,0.03005,0.00199,2.27394
Jamaica,Latin America and Caribbean,65,5.709,0.81,1.151,0.687,0.50442,0.02299,0.2123,2.32038
North Cyprus,Western Europe,66,5.695,1.208,1.07,0.924,0.49027,0.1428,0.26169,1.59888
Cyprus,Western Europe,67,5.689,1.208,0.893,0.924,0.40672,0.06146,0.30638,1.88931
Algeria,Middle East and Northern Africa,68,5.605,0.939,1.078,0.618,0.28579,0.17383,0.07822,2.43209
Kosovo,Central and Eastern Europe,69,5.589,0.801,0.812,0.631,0.24749,0.04741,0.2831,2.76579
Turkmenistan,Central and Eastern Europe,70,5.548,0.958,1.227,0.539,0.4761,0.30844,0.16979,1.86984
Mauritius,Sub-Saharan Africa,71,5.477,1.008,0.985,0.71,0.56066,0.07521,0.37744,1.76145
Hong Kong,Eastern Asia,72,5.474,1.386,1.058,1.013,0.59608,0.37124,0.39478,0.65429
Estonia,Central and Eastern Europe,73,5.429,1.152,1.228,0.774,0.44888,0.15184,0.0868,1.58782
Indonesia,Southeastern Asia,74,5.399,0.828,1.087,0.638,0.46611,0.0,0.51535,1.86399
Vietnam,Southeastern Asia,75,5.36,0.632,0.912,0.747,0.59444,0.10441,0.1686,2.20173
Turkey,Middle East and Northern Africa,76,5.332,1.061,0.946,0.732,0.22815,0.15746,0.12253,2.08528
Kyrgyzstan,Central and Eastern Europe,77,5.286,0.474,1.151,0.651,0.43477,0.04232,0.3003,2.2327
Nigeria,Sub-Saharan Africa,78,5.268,0.654,0.904,0.16,0.34334,0.0403,0.27233,2.89319
Bhutan,Southern Asia,79,5.253,0.77,1.104,0.574,0.53206,0.15445,0.47998,1.63794
Azerbaijan,Central and Eastern Europe,80,5.212,1.024,0.938,0.64,0.3703,0.16065,0.07799,2.00073
Pakistan,Southern Asia,81,5.194,0.595,0.414,0.515,0.12102,0.10464,0.33671,3.10709
Jordan,Middle East and Northern Africa,82,5.192,0.902,1.054,0.696,0.40661,0.14293,0.11053,1.87996
Montenegro,Central and Eastern Europe,82,5.192,0.974,0.906,0.725,0.1826,0.14296,0.1614,2.10017
China,Eastern Asia,84,5.14,0.89,0.947,0.817,0.51697,0.02781,0.08185,1.8604
Zambia,Sub-Saharan Africa,85,5.129,0.47,0.916,0.299,0.48827,0.12468,0.19591,2.6343
Romania,Central and Eastern Europe,86,5.124,1.043,0.886,0.769,0.35068,0.00649,0.13748,1.93129
Serbia,Central and Eastern Europe,87,5.123,0.921,1.01,0.748,0.20107,0.02617,0.19231,2.025
Portugal,Western Europe,88,5.102,1.16,1.139,0.875,0.51469,0.01078,0.13719,1.26462
Latvia,Central and Eastern Europe,89,5.098,1.113,1.096,0.724,0.29671,0.06332,0.18226,1.62215
Philippines,Southeastern Asia,90,5.073,0.705,1.035,0.581,0.62545,0.12279,0.24991,1.7536
Morocco,Middle East and Northern Africa,92,5.013,0.735,0.641,0.61,0.41691,0.08546,0.07172,2.45373
Macedonia,Central and Eastern Europe,93,5.007,0.919,1.002,0.735,0.33457,0.05327,0.22359,1.73933
Albania,Central and Eastern Europe,95,4.959,0.879,0.804,0.813,0.35733,0.06413,0.14272,1.89894
Bosnia and Herzegovina,Central and Eastern Europe,96,4.949,0.832,0.919,0.791,0.09245,0.00227,0.24808,2.06367
Dominican Republic,Latin America and Caribbean,98,4.885,0.895,1.172,0.668,0.57672,0.14234,0.21684,1.21305
Laos,Southeastern Asia,99,4.876,0.591,0.738,0.549,0.59591,0.24249,0.42192,1.73799
Mongolia,Eastern Asia,100,4.874,0.828,1.301,0.603,0.43626,0.02666,0.3323,1.34759
Greece,Western Europe,102,4.857,1.154,0.929,0.882,0.07699,0.01397,0.0,1.80101
Lebanon,Middle East and Northern Africa,103,4.839,1.026,0.8,0.839,0.33916,0.04582,0.21854,1.57059
Hungary,Central and Eastern Europe,104,4.8,1.121,1.202,0.759,0.32112,0.02758,0.128,1.24074
Honduras,Latin America and Caribbean,105,4.788,0.595,0.953,0.695,0.40148,0.06825,0.23027,1.84408
Tajikistan,Central and Eastern Europe,106,4.786,0.39,0.856,0.574,0.47216,0.15072,0.22974,2.11399
Tunisia,Middle East and Northern Africa,107,4.739,0.881,0.604,0.738,0.26268,0.06358,0.06431,2.12466
Palestinian Territories,Middle East and Northern Africa,108,4.715,0.599,0.926,0.66,0.24499,0.12905,0.11251,2.04384
Bangladesh,Southern Asia,109,4.694,0.398,0.431,0.602,0.4082,0.12569,0.21222,2.51767
Iran,Middle East and Northern Africa,110,4.686,1.009,0.544,0.698,0.30033,0.05863,0.38086,1.6944
Ukraine,Central and Eastern Europe,111,4.681,0.799,1.203,0.674,0.25123,0.02961,0.15275,1.5714
Iraq,Middle East and Northern Africa,112,4.677,0.985,0.819,0.602,0.0,0.13788,0.17922,1.95335
South Africa,Sub-Saharan Africa,113,4.642,0.92,1.185,0.277,0.33207,0.08884,0.11973,1.71956
Ghana,Sub-Saharan Africa,114,4.633,0.546,0.68,0.401,0.42342,0.04355,0.23087,2.30919
Zimbabwe,Sub-Saharan Africa,115,4.61,0.271,1.033,0.335,0.25861,0.08079,0.18987,2.44191
Liberia,Sub-Saharan Africa,116,4.571,0.071,0.79,0.342,0.28531,0.06232,0.24362,2.77729
India,Southern Asia,117,4.565,0.645,0.382,0.515,0.39786,0.08492,0.26475,2.27513
Sudan,Sub-Saharan Africa,118,4.55,0.521,1.014,0.369,0.10081,0.1466,0.19062,2.20857
Haiti,Latin America and Caribbean,119,4.518,0.267,0.743,0.388,0.24425,0.17175,0.46187,2.24173
Congo (Kinshasa),Sub-Saharan Africa,120,4.517,0.0,1.001,0.098,0.22605,0.07625,0.24834,2.86712
Nepal,Southern Asia,121,4.514,0.36,0.864,0.569,0.38282,0.05907,0.32296,1.95637
Ethiopia,Sub-Saharan Africa,122,4.512,0.191,0.604,0.441,0.4345,0.15048,0.24325,2.44876
Sierra Leone,Sub-Saharan Africa,123,4.507,0.33,0.956,0.0,0.4084,0.08786,0.21488,2.51009
Mauritania,Sub-Saharan Africa,124,4.436,0.454,0.869,0.359,0.24232,0.17461,0.219,2.11773
Kenya,Sub-Saharan Africa,125,4.419,0.365,0.999,0.414,0.42215,0.05839,0.37542,1.78555
Armenia,Central and Eastern Europe,127,4.35,0.768,0.777,0.73,0.19847,0.039,0.07855,1.75873
Botswana,Sub-Saharan Africa,128,4.332,0.994,1.105,0.048,0.49495,0.12474,0.10461,1.46181
Myanmar,Southeastern Asia,129,4.307,0.271,0.709,0.482,0.44017,0.19034,0.79588,1.41805
Georgia,Central and Eastern Europe,130,4.297,0.742,0.386,0.729,0.40577,0.38331,0.05547,1.59541
Malawi,Sub-Saharan Africa,131,4.292,0.016,0.411,0.226,0.43054,0.06977,0.33128,2.80791
Sri Lanka,Southern Asia,132,4.271,0.835,1.019,0.708,0.53726,0.09179,0.40828,0.67108
Cameroon,Sub-Saharan Africa,133,4.252,0.422,0.888,0.234,0.49309,0.05786,0.20618,1.95071
Bulgaria,Central and Eastern Europe,134,4.218,1.012,1.106,0.766,0.30587,0.00872,0.11921,0.89991
Egypt,Middle East and Northern Africa,135,4.194,0.882,0.747,0.617,0.17288,0.06324,0.11291,1.59927
Yemen,Middle East and Northern Africa,136,4.077,0.546,0.681,0.401,0.35571,0.07854,0.09131,1.92313
Angola,Sub-Saharan Africa,137,4.033,0.758,0.86,0.167,0.10384,0.07122,0.12344,1.94939
Mali,Sub-Saharan Africa,138,3.995,0.261,1.035,0.206,0.38857,0.12352,0.18798,1.79293
Congo (Brazzaville),Sub-Saharan Africa,139,3.989,0.679,0.663,0.311,0.41466,0.11686,0.12388,1.68135
Comoros,Sub-Saharan Africa,140,3.956,0.239,0.793,0.363,0.22917,0.199,0.17441,1.95812
Uganda,Sub-Saharan Africa,141,3.931,0.211,1.133,0.339,0.45727,0.07267,0.29066,1.42766
Senegal,Sub-Saharan Africa,142,3.904,0.365,0.976,0.435,0.36772,0.10713,0.20843,1.44395
Gabon,Sub-Saharan Africa,143,3.896,1.06,0.905,0.434,0.31914,0.11091,0.06822,0.99895
Niger,Sub-Saharan Africa,144,3.845,0.069,0.773,0.297,0.47692,0.15639,0.19387,1.87877
Cambodia,Southeastern Asia,145,3.819,0.46,0.627,0.611,0.66246,0.07247,0.40359,0.98195
Tanzania,Sub-Saharan Africa,146,3.781,0.285,1.003,0.382,0.32878,0.05747,0.34377,1.38079
Madagascar,Sub-Saharan Africa,147,3.681,0.208,0.668,0.467,0.19184,0.08124,0.21333,1.851
Chad,Sub-Saharan Africa,149,3.667,0.342,0.761,0.15,0.23501,0.05269,0.18386,1.94296
Guinea,Sub-Saharan Africa,150,3.656,0.174,0.465,0.24,0.37725,0.12139,0.28657,1.99172
Ivory Coast,Sub-Saharan Africa,151,3.655,0.465,0.771,0.152,0.46866,0.17922,0.20165,1.41723
Burkina Faso,Sub-Saharan Africa,152,3.587,0.258,0.852,0.271,0.39493,0.12832,0.21747,1.46494
Afghanistan,Southern Asia,153,3.575,0.32,0.303,0.303,0.23414,0.09719,0.3651,1.9521
Rwanda,Sub-Saharan Africa,154,3.465,0.222,0.774,0.429,0.59201,0.55191,0.22628,0.67042
Benin,Sub-Saharan Africa,155,3.34,0.287,0.354,0.319,0.4845,0.0801,0.1826,1.63328
Syria,Middle East and Northern Africa,156,3.006,0.663,0.475,0.722,0.15684,0.18906,0.47179,0.32858
Burundi,Sub-Saharan Africa,157,2.905,0.015,0.416,0.224,0.1185,0.10062,0.19727,1.83302
Togo,Sub-Saharan Africa,158,2.839,0.209,0.14,0.284,0.36453,0.10731,0.16681,1.56726
